threshold,validation_labeled_realized_npv,validation_labeled_approved,validation_all_approval_rate,test_approval_rate,approved_total,prior_declined_approved_total
-0.027662273875182577,2568436.6965272576,2091,0.607707730006683,0.6055347623908359,8067,1937
-0.025,2565882.4463035082,2076,0.604366228558699,0.602472496313939,8025,1937
-0.027500000000000004,2565776.799811534,2090,0.6074849632434841,0.6050810933424067,8062,1937
-0.020000000000000004,2562496.1448931377,2054,0.5994653597683226,0.596688215946467,7952,1937
-0.02328957724352363,2561849.1918515544,2066,0.6021385609267097,0.6007712373823296,8000,1937
-0.0225,2559362.732127807,2065,0.6019157941635108,0.5995236474991493,7988,1937
-0.03,2547905.6469133697,2103,0.6103809311650702,0.6080299421571963,8101,1937
-0.033645072225250386,2547204.9843662432,2117,0.6134996658498552,0.6109787909719859,8141,1937
-0.0325,2546854.944720434,2113,0.6126085987970595,0.6104117046614495,8132,1937
-0.035,2542269.5407958953,2127,0.6157273334818445,0.6127934671657026,8167,1937
0.015295976946570566,2529311.301462499,1760,0.5339719313878369,0.536577067029602,7128,1937
0.0175,2526989.6359587368,1739,0.5292938293606594,0.5310196211863446,7058,1937
0.015,2523244.7846996565,1763,0.5346402316774337,0.5372575706022457,7137,1937
0.017900032095469486,2522163.1481975242,1734,0.5281799955446648,0.5301122830894862,7045,1937
-0.0375,2519255.590033263,2138,0.6181777678770327,0.6149483951457412,8197,1937
-0.03891374391565699,2502690.0448372364,2142,0.6190688349298284,0.6167630713394578,8217,1937
0.01951373580495902,2484885.074739296,1709,0.5226108264646915,0.526142678915731,6985,1937
0.020000000000000004,2474619.3582194564,1704,0.5214969926486969,0.5251219235567653,6971,1937
-0.0475,2472950.453566035,2189,0.6295388728001782,0.6237949415901101,8326,1937
-0.045,2466246.6518519246,2173,0.6259746045889953,0.6217534308721787,8292,1937
0.024999999999999994,2464845.219122026,1649,0.5092448206727557,0.5113984348417829,6795,1937
-0.04,2464196.8462661365,2149,0.6206282022722209,0.6178972439605308,8234,1937
-0.04847675472940981,2462127.2554422254,2193,0.6304299398529739,0.6251559487353975,8342,1937
0.026084468291280548,2453502.8702520113,1632,0.5054577856983739,0.5076556651922423,6745,1937
-0.044036028746423074,2452886.1083085425,2168,0.6248607707730006,0.6212997618237496,8283,1937
-0.0425,2447357.992177577,2160,0.6230786366674093,0.6197119201542475,8261,1937
0.022500000000000006,2444399.071805776,1672,0.514368456226331,0.5189973914029715,6885,1937
0.021426714851981988,2442851.08112491,1683,0.5168188906215193,0.5213791539072247,6917,1937
-0.05,2442048.431315407,2198,0.6315437736689686,0.6261767040943632,8356,1937
-0.05606550399752802,2441467.664657333,2219,0.6362218756961462,0.6313938981512986,8423,1937
-0.0575,2430563.5734968535,2229,0.6384495433281354,0.6325280707723716,8443,1937
0.028254245921740244,2429664.7685353784,1607,0.49988861661840056,0.5002835431552682,6655,1937
-0.052500000000000005,2425023.0143029704,2204,0.6328803742481621,0.6283316320744017,8381,1937
-0.055,2423631.1348925987,2212,0.6346625083537536,0.6304865600544403,8408,1937
0.024060517151901193,2421228.2244518944,1658,0.511249721541546,0.5145741181807871,6832,1937
0.027499999999999997,2414100.155161404,1617,0.5021162842503898,0.5024384711353068,6684,1937
-0.06,2411366.2724107066,2238,0.6404544441969258,0.6349098332766248,8473,1937
-0.06143146457416661,2405070.7313230997,2244,0.6417910447761194,0.6354769195871611,8484,1937
0.029995057490822152,2401820.1427498106,1581,0.49409668077522834,0.49495293183622546,6582,1937
0.03,2401820.1427498106,1581,0.49409668077522834,0.49495293183622546,6582,1937
-0.0625,2385196.824769712,2251,0.643350412118512,0.6362708404219122,8498,1937
-0.065,2355767.6129573593,2263,0.6460236132768991,0.6383123511398435,8528,1937
0.03222953862175074,2353114.275026983,1556,0.4845177099576743,0.48225019848020867,6427,1871
-0.07,2348020.2636180297,2277,0.6491423479616841,0.6426222070999206,8580,1937
-0.0675,2343777.9919964587,2268,0.6471374470928938,0.6400136100714529,8548,1937
0.0325,2341238.4624620853,1550,0.4816217420360882,0.4820233639559941,6412,1863
-0.06791171717105754,2336187.2416948844,2270,0.6475829806192916,0.640467279119882,8554,1937
-0.07250000000000001,2317077.9806152997,2281,0.6500334150144799,0.645457638652603,8609,1937
-0.075,2303293.6706006145,2287,0.6513700155936735,0.6468186457978904,8627,1937
0.03415475068339682,2302621.035468326,1530,0.47449320561372244,0.4728365657253034,6299,1821
0.035,2294096.829496647,1519,0.47026063711294275,0.4681864579789044,6239,1797
