policy,threshold,approved,approval_rate,realized_npv,mean_realized_npv_approved,observed_default_rate_approved,overlap_with_current_decisions
blend_decomp_direct_hgb_0.8,0.009999999999999995,2025,0.7938063504508036,3794645.686007787,1873.8991042013763,0.07950617283950617,0.960015680125441
blend_decomp_direct_hgb_0.7,0.008436339478676497,2029,0.7953743629949039,3792538.500469491,1869.1663383289754,0.08033514046328241,0.9639357114856919
blend_decomp_direct_hgb_0.9,-0.010000000000000009,2148,0.8420227361818895,3792438.7666348782,1765.5673960125132,0.09031657355679702,0.9400235201881615
blend_decomp_direct_hgb_0.7,-0.0050000000000000044,2108,0.8263426107408859,3792345.761842075,1799.0255037201493,0.0872865275142315,0.9564876519012152
direct_margin_hgb_squared,-0.010000000000000009,2155,0.8447667581340651,3791809.8616988068,1759.540539071372,0.091415313225058,0.9364954919639357
decomp_plus_profit_support_0.12,0.052038039735124886,1914,0.7502940023520188,3791632.9000684107,1980.9994253230986,0.07105538140020899,0.9604076832614661
decomp_plus_profit_support_0.12,0.03939048505400646,1994,0.7816542532340258,3789998.393515649,1900.7013006598038,0.07773319959879639,0.9886319090552724
direct_margin_hgb_squared,0.0011379084642246886,2084,0.8169345354762838,3789616.632119611,1818.43408451037,0.08637236084452975,0.9470795766366131
blend_decomp_direct_hgb_0.9,0.013898473360261574,2012,0.7887103096824775,3789590.931128595,1883.4944985728603,0.07902584493041749,0.9564876519012152
decomposed_margin,0.0049999999999999906,2015,0.7898863190905527,3789087.6615743465,1880.440526835904,0.0803970223325062,1.0
blend_decomp_direct_hgb_0.3,0.009999999999999995,2004,0.7855742845942768,3788928.003766377,1890.6826366099685,0.0783433133732535,0.982359858878871
blend_decomp_direct_hgb_0.4,-0.0050000000000000044,2099,0.8228145825166602,3788724.0445278403,1805.0138373167415,0.0857551214864221,0.964719717757742
decomp_plus_profit_support_0.08,0.03,1986,0.7785182281458252,3788672.356648095,1907.6900083827265,0.0770392749244713,0.9870638965111721
blend_decomp_direct_hgb_0.5,0.008436339478676497,2022,0.7926303410427283,3787965.2734846757,1873.3755061744191,0.0791295746785361,0.9729517836142689
decomp_plus_profit_support_0.06,0.018996887091860808,2022,0.7926303410427283,3786683.104073262,1872.7413966732254,0.08011869436201781,0.9933359466875735
direct_margin_hgb_squared,0.0,2089,0.8188945511564093,3786101.2041779053,1812.398853124895,0.08664432742939206,0.9474715797726382
blend_decomp_direct_hgb_0.8,0.015,1998,0.7832222657781263,3785543.1880192603,1894.6662602699,0.07807807807807808,0.9588396707173658
blend_decomp_direct_hgb_0.5,-0.0050000000000000044,2102,0.8239905919247354,3785533.619509154,1800.9198951042597,0.08658420551855375,0.9611916895335163
blend_decomp_direct_hgb_0.4,0.015,1969,0.7718541748333987,3784633.115787568,1922.1092512887599,0.07567293042153378,0.9717757742061937
blend_decomp_direct_hgb_0.7,0.01999999999999999,1951,0.764798118384947,3784574.025564513,1939.8124169987254,0.0743208610968734,0.9553116424931399
blend_decomp_direct_hgb_0.8,-0.0073275071094370346,2129,0.8345746765974128,3784544.9567089835,1777.616231427423,0.08924377642085486,0.9474715797726382
decomp_plus_profit_support_0.12,0.04000000000000001,1990,0.7800862406899255,3784527.4581636786,1901.7725920420496,0.07738693467336684,0.9886319090552724
blend_decomp_direct_hgb_0.8,0.0011379084642246886,2076,0.8137985103880832,3784270.5338104134,1822.866345766095,0.08526011560693642,0.9564876519012152
blend_decomp_direct_hgb_0.6,0.01999999999999999,1941,0.7608780870246962,3784142.9448340843,1949.5842065090594,0.07418856259659969,0.9576636613092905
blend_decomp_direct_hgb_0.2,0.009999999999999995,1993,0.7812622500980008,3783715.153174809,1898.5023347590613,0.07777220270948319,0.9858878871030968
decomp_plus_profit_support_0.04,0.013898473360261574,2021,0.7922383379067033,3783567.063812212,1872.1262067353846,0.0801583374567046,0.9937279498235986
blend_decomp_direct_hgb_0.3,-0.0050000000000000044,2096,0.8216385731085849,3783001.285010883,1804.867025291452,0.08540076335877862,0.9682477459819678
blend_decomp_direct_hgb_0.7,0.02517350332647858,1892,0.7416699333594668,3782837.623820261,1999.385636268637,0.07029598308668077,0.9392395139161114
