name,threshold,npv,approved_labeled,default_rate_approved,auroc,log_loss,brier,mean_pd,approved_total,headline_enpv,val_approval_rate,test_approval_rate
score_alpha_-0.15,0.027254514087470122,2616642.882050713,1910,0.12827225130890052,0.732660188705816,0.44026827399598384,0.13794274463398273,0.20417269898419918,7802,14668171.217809284,0.5878814880819782,0.5855733242599523
rev_0.35_rar_0.35,-0.021004814271914272,2615409.9570484506,2063,0.1362094037809016,0.7323564756137634,0.4590133299472194,0.14499310268617407,0.23128320120746784,8219,14769197.65491623,0.6212965025618178,0.6158557332425996
rev_0.25_rar_0.30,0.009044425494306174,2615042.8255502465,1940,0.1309278350515464,0.7347242172463972,0.45256802270813334,0.14266326720980793,0.2269851813646234,7864,14788479.567592818,0.5927823568723547,0.5901100147442441
rev_-0.15_rar_0.20,0.02087590860840212,2614569.7159277173,1888,0.1271186440677966,0.7318091348636343,0.4475968744884245,0.1404588095612926,0.2186424646437862,7700,14578505.833837608,0.5778569837380263,0.5791085403198367
rev_0.20_rar_0.30,0.0005981626664689681,2614308.275363517,1986,0.13192346424974824,0.735156081303103,0.4514062049142925,0.1422319068824432,0.22616644068793257,7988,14780691.50406247,0.6021385609267097,0.5994102302370421
rev_0.30_rar_0.35,-0.020537837830933898,2614266.0150835924,2059,0.13501699854298202,0.7332464911045393,0.45717392631996745,0.14434508742152163,0.23029772880636662,8211,14751504.910955353,0.6197371352194253,0.6157423159804922
rev_alpha_0.10,0.01632367557489815,2614225.454763093,1954,0.1299897645854657,0.7392663005210534,0.4389315183410266,0.1376377668333089,0.2112864048014199,7904,14701454.877050871,0.5956783247939408,0.5931722808211409
rev_0.10_rar_0.00,0.01632367557489815,2614225.454763093,1954,0.1299897645854657,0.7392663005210534,0.4389315183410266,0.1376377668333089,0.2112864048014199,7904,14701454.877050871,0.5956783247939408,0.5931722808211409
rev_0.15_rar_-0.20,-0.010519839110495918,2613825.226564739,2125,0.14023529411764707,0.7368901093742665,0.43935156341309023,0.1378572272415497,0.20498604831868708,8433,14825521.55055073,0.6362218756961462,0.6325280707723716
rev_0.35_rar_-0.15,-0.014566951734766541,2613562.712230132,2115,0.13995271867612294,0.7313528610993757,0.444374128872696,0.139555989528262,0.21098294963370795,8456,14857518.986399565,0.6357763421697483,0.6353635023250539
amount_alpha_0.15,0.01741593686723311,2613474.4135890706,1934,0.1297828335056877,0.7444965497817209,0.43883944231039734,0.13794976552797109,0.21421753384241013,7818,14420527.593918627,0.5865448875027846,0.5880685040263128
rev_0.05_rar_-0.05,0.01740071015524006,2613388.348429163,1955,0.129923273657289,0.7399647936910294,0.438230511046395,0.13739172105890152,0.2087496118531833,7912,14683186.4724283,0.5952327912675429,0.5943064534422139
rev_0.20_rar_-0.40,0.0107299781562885,2613256.5871115574,2047,0.1353199804592086,0.7248138759799088,0.44602230691365724,0.14019767200847036,0.2011129575513427,8274,14937779.924223538,0.6215192693250167,0.6219802653963933
debt_alpha_-0.10,0.01967368916398666,2613185.684162002,1943,0.12969634585692227,0.7382556447448716,0.4391038812595687,0.1376871195309227,0.2077916370700651,7898,14698667.907371083,0.5936734239251503,0.5935125326074628
rev_0.30_rar_0.10,-0.029703392587765127,2612675.4248420475,2127,0.14151386929948284,0.7363399521194198,0.44524814205399776,0.13993724550262632,0.21893320018028312,8445,14662475.99795642,0.6359991089329472,0.6340024951797664
rev_0.35_rar_0.10,-0.028589000973016147,2612644.564802068,2119,0.14016045304388863,0.7348725531615266,0.44715554219977355,0.14061758078022615,0.22008824064660604,8443,14699484.399667237,0.6346625083537536,0.6344561642281955
rev_0.25_rar_0.35,0.007476050656870254,2612021.6198049597,1942,0.131307929969104,0.7337806881659861,0.4556790430473322,0.14380725322792706,0.22940759920787096,7853,14785194.929769143,0.591891289819559,0.589316093909493
rev_0.35_rar_0.40,-0.023886453468535584,2611924.7981426576,2063,0.13669413475521086,0.7315359339060226,0.4624431647156985,0.14623979067625925,0.23368438667052105,8226,14759682.052183341,0.6215192693250167,0.6165362368152433
rev_0.40_rar_-0.20,-0.010728727811519269,2611789.772702449,2102,0.13939105613701236,0.7274520020654368,0.44724766984951264,0.14054836069998544,0.21096335191022061,8436,14927881.102531314,0.6344397415905547,0.6337756606555518
rev_-0.15_rar_0.25,0.019392197593551458,2611773.02274484,1889,0.12758073054526203,0.73093695723607,0.44998862767892156,0.14131144615871052,0.22105355351862238,7693,14586358.133488867,0.5783025172644242,0.5780877849608711
rev_-0.10_rar_-0.15,0.022711329065351303,2611712.2583419643,1940,0.12938144329896908,0.7343721541566915,0.439945471902714,0.13800278742479752,0.2042514960667887,7865,14606905.07484247,0.5907774560035642,0.591244187365317
rev_0.10_rar_-0.35,0.013255294685274498,2611689.1946183546,2029,0.1355347461803844,0.7309163028681406,0.44272332234077777,0.13912828907040775,0.2003202110531742,8209,14869622.03293983,0.6170639340610381,0.6168764886015652
rev_0.20_rar_0.20,0.015606683330157379,2611306.343498272,1916,0.12943632567849686,0.7368459841336901,0.44623387156852035,0.14032101427257754,0.22143019103301673,7812,14723342.485366566,0.5878814880819782,0.5867074968810253
score_alpha_0.45,-0.00035347003854244516,2611284.302706665,1975,0.13063291139240507,0.741906773693846,0.45372360443456267,0.1434524848363509,0.23272793910487083,7872,14431686.322084257,0.5956783247939408,0.5895429284337076
rev_0.35_rar_0.20,-0.020115402279905735,2610978.934816706,2074,0.1369334619093539,0.7341796930009856,0.450825476068286,0.14198137788329734,0.2243724840945506,8291,14779763.567406218,0.6253063042993985,0.6219802653963933
rev_-0.20_rar_0.05,0.018770452853311706,2610174.3343099505,1950,0.13076923076923078,0.7307895601558465,0.44418397899917095,0.13920666057318654,0.21199401218423558,7846,14615751.380694374,0.5925595901091557,0.5881819212884201
